group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemv,32_32_f32,32,,,955624.0,ns,10042
gemv,32_32_f32,32,,,1854840.0,ns,20084
gemv,32_32_f32,32,,,2760213.0,ns,30126
gemv,32_32_f32,32,,,3700531.0,ns,40168
gemv,32_32_f32,32,,,4623638.0,ns,50210
gemv,32_32_f32,32,,,5566271.0,ns,60252
gemv,32_32_f32,32,,,6492604.0,ns,70294
gemv,32_32_f32,32,,,7414250.0,ns,80336
gemv,32_32_f32,32,,,8331665.0,ns,90378
gemv,32_32_f32,32,,,9246371.0,ns,100420
gemv,32_32_f32,32,,,10164302.0,ns,110462
gemv,32_32_f32,32,,,11026340.0,ns,120504
gemv,32_32_f32,32,,,12001957.0,ns,130546
gemv,32_32_f32,32,,,12934195.0,ns,140588
gemv,32_32_f32,32,,,13891562.0,ns,150630
gemv,32_32_f32,32,,,14827565.0,ns,160672
gemv,32_32_f32,32,,,15701109.0,ns,170714
gemv,32_32_f32,32,,,16661351.0,ns,180756
gemv,32_32_f32,32,,,17529734.0,ns,190798
gemv,32_32_f32,32,,,18448275.0,ns,200840
gemv,32_32_f32,32,,,19406584.0,ns,210882
gemv,32_32_f32,32,,,20401415.0,ns,220924
gemv,32_32_f32,32,,,21103719.0,ns,230966
gemv,32_32_f32,32,,,22050242.0,ns,241008
gemv,32_32_f32,32,,,22949309.0,ns,251050
gemv,32_32_f32,32,,,24010045.0,ns,261092
gemv,32_32_f32,32,,,24957040.0,ns,271134
gemv,32_32_f32,32,,,25880363.0,ns,281176
gemv,32_32_f32,32,,,26756768.0,ns,291218
gemv,32_32_f32,32,,,27683325.0,ns,301260
gemv,32_32_f32,32,,,28723634.0,ns,311302
gemv,32_32_f32,32,,,29648311.0,ns,321344
gemv,32_32_f32,32,,,30446863.0,ns,331386
gemv,32_32_f32,32,,,31452116.0,ns,341428
gemv,32_32_f32,32,,,32249295.0,ns,351470
gemv,32_32_f32,32,,,33196086.0,ns,361512
gemv,32_32_f32,32,,,33911749.0,ns,371554
gemv,32_32_f32,32,,,34955176.0,ns,381596
gemv,32_32_f32,32,,,35800727.0,ns,391638
gemv,32_32_f32,32,,,36749730.0,ns,401680
gemv,32_32_f32,32,,,37652097.0,ns,411722
gemv,32_32_f32,32,,,38600480.0,ns,421764
gemv,32_32_f32,32,,,39482390.0,ns,431806
gemv,32_32_f32,32,,,40413424.0,ns,441848
gemv,32_32_f32,32,,,41379029.0,ns,451890
gemv,32_32_f32,32,,,42173162.0,ns,461932
gemv,32_32_f32,32,,,43211141.0,ns,471974
gemv,32_32_f32,32,,,44146698.0,ns,482016
gemv,32_32_f32,32,,,45334785.0,ns,492058
gemv,32_32_f32,32,,,46200040.0,ns,502100
gemv,32_32_f32,32,,,47190618.0,ns,512142
gemv,32_32_f32,32,,,48149381.0,ns,522184
gemv,32_32_f32,32,,,49062888.0,ns,532226
gemv,32_32_f32,32,,,49920370.0,ns,542268
gemv,32_32_f32,32,,,50846475.0,ns,552310
gemv,32_32_f32,32,,,51815825.0,ns,562352
gemv,32_32_f32,32,,,52678230.0,ns,572394
gemv,32_32_f32,32,,,53548237.0,ns,582436
gemv,32_32_f32,32,,,54265513.0,ns,592478
gemv,32_32_f32,32,,,55096248.0,ns,602520
gemv,32_32_f32,32,,,56049595.0,ns,612562
gemv,32_32_f32,32,,,56950354.0,ns,622604
gemv,32_32_f32,32,,,57790295.0,ns,632646
gemv,32_32_f32,32,,,58778945.0,ns,642688
gemv,32_32_f32,32,,,59980787.0,ns,652730
gemv,32_32_f32,32,,,61091332.0,ns,662772
gemv,32_32_f32,32,,,61984918.0,ns,672814
gemv,32_32_f32,32,,,62439282.0,ns,682856
gemv,32_32_f32,32,,,63242658.0,ns,692898
gemv,32_32_f32,32,,,64379379.0,ns,702940
gemv,32_32_f32,32,,,64969016.0,ns,712982
gemv,32_32_f32,32,,,66512594.0,ns,723024
gemv,32_32_f32,32,,,67557846.0,ns,733066
gemv,32_32_f32,32,,,68221890.0,ns,743108
gemv,32_32_f32,32,,,69229474.0,ns,753150
gemv,32_32_f32,32,,,70365898.0,ns,763192
gemv,32_32_f32,32,,,71237582.0,ns,773234
gemv,32_32_f32,32,,,72211809.0,ns,783276
gemv,32_32_f32,32,,,73072102.0,ns,793318
gemv,32_32_f32,32,,,74130765.0,ns,803360
gemv,32_32_f32,32,,,74850488.0,ns,813402
gemv,32_32_f32,32,,,76024216.0,ns,823444
gemv,32_32_f32,32,,,76696324.0,ns,833486
gemv,32_32_f32,32,,,77832529.0,ns,843528
gemv,32_32_f32,32,,,78600616.0,ns,853570
gemv,32_32_f32,32,,,79391265.0,ns,863612
gemv,32_32_f32,32,,,80380136.0,ns,873654
gemv,32_32_f32,32,,,81563615.0,ns,883696
gemv,32_32_f32,32,,,82270611.0,ns,893738
gemv,32_32_f32,32,,,83055187.0,ns,903780
gemv,32_32_f32,32,,,109000497.0,ns,913822
gemv,32_32_f32,32,,,115850113.0,ns,923864
gemv,32_32_f32,32,,,116987796.0,ns,933906
gemv,32_32_f32,32,,,118349908.0,ns,943948
gemv,32_32_f32,32,,,119694117.0,ns,953990
gemv,32_32_f32,32,,,101097179.0,ns,964032
gemv,32_32_f32,32,,,89525217.0,ns,974074
gemv,32_32_f32,32,,,90750993.0,ns,984116
gemv,32_32_f32,32,,,91476823.0,ns,994158
gemv,32_32_f32,32,,,92395941.0,ns,1004200
