group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemv,512_512_f32,512,,,1009434.0,ns,155
gemv,512_512_f32,512,,,2037892.0,ns,310
gemv,512_512_f32,512,,,2988269.0,ns,465
gemv,512_512_f32,512,,,4003881.0,ns,620
gemv,512_512_f32,512,,,4942431.0,ns,775
gemv,512_512_f32,512,,,5969636.0,ns,930
gemv,512_512_f32,512,,,6950093.0,ns,1085
gemv,512_512_f32,512,,,7918012.0,ns,1240
gemv,512_512_f32,512,,,8927054.0,ns,1395
gemv,512_512_f32,512,,,9904509.0,ns,1550
gemv,512_512_f32,512,,,10984889.0,ns,1705
gemv,512_512_f32,512,,,11995782.0,ns,1860
gemv,512_512_f32,512,,,12977497.0,ns,2015
gemv,512_512_f32,512,,,13900157.0,ns,2170
gemv,512_512_f32,512,,,14942504.0,ns,2325
gemv,512_512_f32,512,,,16056947.0,ns,2480
gemv,512_512_f32,512,,,16977475.0,ns,2635
gemv,512_512_f32,512,,,17874621.0,ns,2790
gemv,512_512_f32,512,,,18849032.0,ns,2945
gemv,512_512_f32,512,,,20006642.0,ns,3100
gemv,512_512_f32,512,,,20926066.0,ns,3255
gemv,512_512_f32,512,,,21903686.0,ns,3410
gemv,512_512_f32,512,,,22901947.0,ns,3565
gemv,512_512_f32,512,,,23965412.0,ns,3720
gemv,512_512_f32,512,,,24956678.0,ns,3875
gemv,512_512_f32,512,,,25846160.0,ns,4030
gemv,512_512_f32,512,,,26695949.0,ns,4185
gemv,512_512_f32,512,,,27970454.0,ns,4340
gemv,512_512_f32,512,,,28856747.0,ns,4495
gemv,512_512_f32,512,,,29847258.0,ns,4650
gemv,512_512_f32,512,,,30853171.0,ns,4805
gemv,512_512_f32,512,,,31864880.0,ns,4960
gemv,512_512_f32,512,,,32943194.0,ns,5115
gemv,512_512_f32,512,,,33800248.0,ns,5270
gemv,512_512_f32,512,,,34878134.0,ns,5425
gemv,512_512_f32,512,,,36121197.0,ns,5580
gemv,512_512_f32,512,,,36846847.0,ns,5735
gemv,512_512_f32,512,,,37827145.0,ns,5890
gemv,512_512_f32,512,,,38877753.0,ns,6045
gemv,512_512_f32,512,,,39764255.0,ns,6200
gemv,512_512_f32,512,,,40879227.0,ns,6355
gemv,512_512_f32,512,,,41821928.0,ns,6510
gemv,512_512_f32,512,,,42765178.0,ns,6665
gemv,512_512_f32,512,,,43749364.0,ns,6820
gemv,512_512_f32,512,,,44935949.0,ns,6975
gemv,512_512_f32,512,,,46017279.0,ns,7130
gemv,512_512_f32,512,,,46820870.0,ns,7285
gemv,512_512_f32,512,,,47840102.0,ns,7440
gemv,512_512_f32,512,,,48922024.0,ns,7595
gemv,512_512_f32,512,,,49704677.0,ns,7750
gemv,512_512_f32,512,,,50715371.0,ns,7905
gemv,512_512_f32,512,,,51799071.0,ns,8060
gemv,512_512_f32,512,,,52728266.0,ns,8215
gemv,512_512_f32,512,,,53903189.0,ns,8370
gemv,512_512_f32,512,,,54946596.0,ns,8525
gemv,512_512_f32,512,,,55724989.0,ns,8680
gemv,512_512_f32,512,,,56747412.0,ns,8835
gemv,512_512_f32,512,,,57691720.0,ns,8990
gemv,512_512_f32,512,,,58823278.0,ns,9145
gemv,512_512_f32,512,,,59650392.0,ns,9300
gemv,512_512_f32,512,,,60711859.0,ns,9455
gemv,512_512_f32,512,,,61840662.0,ns,9610
gemv,512_512_f32,512,,,62871068.0,ns,9765
gemv,512_512_f32,512,,,63733071.0,ns,9920
gemv,512_512_f32,512,,,64720202.0,ns,10075
gemv,512_512_f32,512,,,65823182.0,ns,10230
gemv,512_512_f32,512,,,66707098.0,ns,10385
gemv,512_512_f32,512,,,67667275.0,ns,10540
gemv,512_512_f32,512,,,68542615.0,ns,10695
gemv,512_512_f32,512,,,69707256.0,ns,10850
gemv,512_512_f32,512,,,70830605.0,ns,11005
gemv,512_512_f32,512,,,71734403.0,ns,11160
gemv,512_512_f32,512,,,72929484.0,ns,11315
gemv,512_512_f32,512,,,73687084.0,ns,11470
gemv,512_512_f32,512,,,74793468.0,ns,11625
gemv,512_512_f32,512,,,75734413.0,ns,11780
gemv,512_512_f32,512,,,76870074.0,ns,11935
gemv,512_512_f32,512,,,77639954.0,ns,12090
gemv,512_512_f32,512,,,78622154.0,ns,12245
gemv,512_512_f32,512,,,79782773.0,ns,12400
gemv,512_512_f32,512,,,80543592.0,ns,12555
gemv,512_512_f32,512,,,81491159.0,ns,12710
gemv,512_512_f32,512,,,83035835.0,ns,12865
gemv,512_512_f32,512,,,83786957.0,ns,13020
gemv,512_512_f32,512,,,84673486.0,ns,13175
gemv,512_512_f32,512,,,85806959.0,ns,13330
gemv,512_512_f32,512,,,86893292.0,ns,13485
gemv,512_512_f32,512,,,87713191.0,ns,13640
gemv,512_512_f32,512,,,88709398.0,ns,13795
gemv,512_512_f32,512,,,89555158.0,ns,13950
gemv,512_512_f32,512,,,90708525.0,ns,14105
gemv,512_512_f32,512,,,91667224.0,ns,14260
gemv,512_512_f32,512,,,92545374.0,ns,14415
gemv,512_512_f32,512,,,93804134.0,ns,14570
gemv,512_512_f32,512,,,94740445.0,ns,14725
gemv,512_512_f32,512,,,95970911.0,ns,14880
gemv,512_512_f32,512,,,96642025.0,ns,15035
gemv,512_512_f32,512,,,97736683.0,ns,15190
gemv,512_512_f32,512,,,98646565.0,ns,15345
gemv,512_512_f32,512,,,99761403.0,ns,15500
