group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemv,M1024_K128_f32,0,,,992482.0,ns,193
gemv,M1024_K128_f32,0,,,2005964.0,ns,386
gemv,M1024_K128_f32,0,,,2988283.0,ns,579
gemv,M1024_K128_f32,0,,,3986315.0,ns,772
gemv,M1024_K128_f32,0,,,4996589.0,ns,965
gemv,M1024_K128_f32,0,,,5904399.0,ns,1158
gemv,M1024_K128_f32,0,,,7004926.0,ns,1351
gemv,M1024_K128_f32,0,,,7904587.0,ns,1544
gemv,M1024_K128_f32,0,,,8944143.0,ns,1737
gemv,M1024_K128_f32,0,,,9987352.0,ns,1930
gemv,M1024_K128_f32,0,,,11005424.0,ns,2123
gemv,M1024_K128_f32,0,,,12030829.0,ns,2316
gemv,M1024_K128_f32,0,,,12979166.0,ns,2509
gemv,M1024_K128_f32,0,,,13937864.0,ns,2702
gemv,M1024_K128_f32,0,,,14977825.0,ns,2895
gemv,M1024_K128_f32,0,,,15861886.0,ns,3088
gemv,M1024_K128_f32,0,,,17009250.0,ns,3281
gemv,M1024_K128_f32,0,,,17952221.0,ns,3474
gemv,M1024_K128_f32,0,,,18908586.0,ns,3667
gemv,M1024_K128_f32,0,,,19884261.0,ns,3860
gemv,M1024_K128_f32,0,,,20796850.0,ns,4053
gemv,M1024_K128_f32,0,,,21920017.0,ns,4246
gemv,M1024_K128_f32,0,,,22922433.0,ns,4439
gemv,M1024_K128_f32,0,,,23744011.0,ns,4632
gemv,M1024_K128_f32,0,,,24861077.0,ns,4825
gemv,M1024_K128_f32,0,,,26017750.0,ns,5018
gemv,M1024_K128_f32,0,,,26909325.0,ns,5211
gemv,M1024_K128_f32,0,,,27797970.0,ns,5404
gemv,M1024_K128_f32,0,,,28895229.0,ns,5597
gemv,M1024_K128_f32,0,,,29660492.0,ns,5790
gemv,M1024_K128_f32,0,,,30865867.0,ns,5983
gemv,M1024_K128_f32,0,,,31888864.0,ns,6176
gemv,M1024_K128_f32,0,,,32993115.0,ns,6369
gemv,M1024_K128_f32,0,,,33748937.0,ns,6562
gemv,M1024_K128_f32,0,,,34763148.0,ns,6755
gemv,M1024_K128_f32,0,,,35867374.0,ns,6948
gemv,M1024_K128_f32,0,,,36832082.0,ns,7141
gemv,M1024_K128_f32,0,,,37713537.0,ns,7334
gemv,M1024_K128_f32,0,,,38873352.0,ns,7527
gemv,M1024_K128_f32,0,,,39933224.0,ns,7720
gemv,M1024_K128_f32,0,,,40662646.0,ns,7913
gemv,M1024_K128_f32,0,,,41736829.0,ns,8106
gemv,M1024_K128_f32,0,,,42763698.0,ns,8299
gemv,M1024_K128_f32,0,,,43728134.0,ns,8492
gemv,M1024_K128_f32,0,,,44837484.0,ns,8685
gemv,M1024_K128_f32,0,,,46012581.0,ns,8878
gemv,M1024_K128_f32,0,,,46847711.0,ns,9071
gemv,M1024_K128_f32,0,,,47915522.0,ns,9264
gemv,M1024_K128_f32,0,,,48895362.0,ns,9457
gemv,M1024_K128_f32,0,,,49861734.0,ns,9650
gemv,M1024_K128_f32,0,,,50700287.0,ns,9843
gemv,M1024_K128_f32,0,,,51903030.0,ns,10036
gemv,M1024_K128_f32,0,,,52806542.0,ns,10229
gemv,M1024_K128_f32,0,,,54142506.0,ns,10422
gemv,M1024_K128_f32,0,,,54780482.0,ns,10615
gemv,M1024_K128_f32,0,,,56046139.0,ns,10808
gemv,M1024_K128_f32,0,,,56903294.0,ns,11001
gemv,M1024_K128_f32,0,,,57470327.0,ns,11194
gemv,M1024_K128_f32,0,,,58904039.0,ns,11387
gemv,M1024_K128_f32,0,,,60090711.0,ns,11580
gemv,M1024_K128_f32,0,,,60942040.0,ns,11773
gemv,M1024_K128_f32,0,,,61794673.0,ns,11966
gemv,M1024_K128_f32,0,,,62925909.0,ns,12159
gemv,M1024_K128_f32,0,,,64013370.0,ns,12352
gemv,M1024_K128_f32,0,,,64717638.0,ns,12545
gemv,M1024_K128_f32,0,,,65768416.0,ns,12738
gemv,M1024_K128_f32,0,,,66385727.0,ns,12931
gemv,M1024_K128_f32,0,,,67399666.0,ns,13124
gemv,M1024_K128_f32,0,,,72901254.0,ns,13317
gemv,M1024_K128_f32,0,,,74907938.0,ns,13510
gemv,M1024_K128_f32,0,,,75922926.0,ns,13703
gemv,M1024_K128_f32,0,,,77190111.0,ns,13896
gemv,M1024_K128_f32,0,,,78148360.0,ns,14089
gemv,M1024_K128_f32,0,,,78999793.0,ns,14282
gemv,M1024_K128_f32,0,,,80090058.0,ns,14475
gemv,M1024_K128_f32,0,,,81562270.0,ns,14668
gemv,M1024_K128_f32,0,,,82585211.0,ns,14861
gemv,M1024_K128_f32,0,,,83511301.0,ns,15054
gemv,M1024_K128_f32,0,,,84347427.0,ns,15247
gemv,M1024_K128_f32,0,,,85615697.0,ns,15440
gemv,M1024_K128_f32,0,,,86935926.0,ns,15633
gemv,M1024_K128_f32,0,,,87740838.0,ns,15826
gemv,M1024_K128_f32,0,,,89079507.0,ns,16019
gemv,M1024_K128_f32,0,,,90079871.0,ns,16212
gemv,M1024_K128_f32,0,,,90886217.0,ns,16405
gemv,M1024_K128_f32,0,,,92266928.0,ns,16598
gemv,M1024_K128_f32,0,,,92992029.0,ns,16791
gemv,M1024_K128_f32,0,,,93861967.0,ns,16984
gemv,M1024_K128_f32,0,,,95381561.0,ns,17177
gemv,M1024_K128_f32,0,,,96472285.0,ns,17370
gemv,M1024_K128_f32,0,,,97358905.0,ns,17563
gemv,M1024_K128_f32,0,,,98496102.0,ns,17756
gemv,M1024_K128_f32,0,,,99224478.0,ns,17949
gemv,M1024_K128_f32,0,,,100788437.0,ns,18142
gemv,M1024_K128_f32,0,,,101666703.0,ns,18335
gemv,M1024_K128_f32,0,,,102935856.0,ns,18528
gemv,M1024_K128_f32,0,,,103680313.0,ns,18721
gemv,M1024_K128_f32,0,,,105445181.0,ns,18914
gemv,M1024_K128_f32,0,,,106091095.0,ns,19107
gemv,M1024_K128_f32,0,,,106896399.0,ns,19300
