group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gemv,M1024_K4096_f32,0,,,1259105.0,ns,3
gemv,M1024_K4096_f32,0,,,2372339.0,ns,6
gemv,M1024_K4096_f32,0,,,3451646.0,ns,9
gemv,M1024_K4096_f32,0,,,4519961.0,ns,12
gemv,M1024_K4096_f32,0,,,5591019.0,ns,15
gemv,M1024_K4096_f32,0,,,6649721.0,ns,18
gemv,M1024_K4096_f32,0,,,7758898.0,ns,21
gemv,M1024_K4096_f32,0,,,8786361.0,ns,24
gemv,M1024_K4096_f32,0,,,9857269.0,ns,27
gemv,M1024_K4096_f32,0,,,10906881.0,ns,30
gemv,M1024_K4096_f32,0,,,11947493.0,ns,33
gemv,M1024_K4096_f32,0,,,12997972.0,ns,36
gemv,M1024_K4096_f32,0,,,14049232.0,ns,39
gemv,M1024_K4096_f32,0,,,15125279.0,ns,42
gemv,M1024_K4096_f32,0,,,16187002.0,ns,45
gemv,M1024_K4096_f32,0,,,17223202.0,ns,48
gemv,M1024_K4096_f32,0,,,18302573.0,ns,51
gemv,M1024_K4096_f32,0,,,19371330.0,ns,54
gemv,M1024_K4096_f32,0,,,20387986.0,ns,57
gemv,M1024_K4096_f32,0,,,21429337.0,ns,60
gemv,M1024_K4096_f32,0,,,22489739.0,ns,63
gemv,M1024_K4096_f32,0,,,23506481.0,ns,66
gemv,M1024_K4096_f32,0,,,24588545.0,ns,69
gemv,M1024_K4096_f32,0,,,25668941.0,ns,72
gemv,M1024_K4096_f32,0,,,26669909.0,ns,75
gemv,M1024_K4096_f32,0,,,27737461.0,ns,78
gemv,M1024_K4096_f32,0,,,28731007.0,ns,81
gemv,M1024_K4096_f32,0,,,29830513.0,ns,84
gemv,M1024_K4096_f32,0,,,30897982.0,ns,87
gemv,M1024_K4096_f32,0,,,31953134.0,ns,90
gemv,M1024_K4096_f32,0,,,32975911.0,ns,93
gemv,M1024_K4096_f32,0,,,34059357.0,ns,96
gemv,M1024_K4096_f32,0,,,35067663.0,ns,99
gemv,M1024_K4096_f32,0,,,36142763.0,ns,102
gemv,M1024_K4096_f32,0,,,37194897.0,ns,105
gemv,M1024_K4096_f32,0,,,38261523.0,ns,108
gemv,M1024_K4096_f32,0,,,39250671.0,ns,111
gemv,M1024_K4096_f32,0,,,40304696.0,ns,114
gemv,M1024_K4096_f32,0,,,41339743.0,ns,117
gemv,M1024_K4096_f32,0,,,42391913.0,ns,120
gemv,M1024_K4096_f32,0,,,43388157.0,ns,123
gemv,M1024_K4096_f32,0,,,44623584.0,ns,126
gemv,M1024_K4096_f32,0,,,45627148.0,ns,129
gemv,M1024_K4096_f32,0,,,46701027.0,ns,132
gemv,M1024_K4096_f32,0,,,47664187.0,ns,135
gemv,M1024_K4096_f32,0,,,49418771.0,ns,138
gemv,M1024_K4096_f32,0,,,49750387.0,ns,141
gemv,M1024_K4096_f32,0,,,50803639.0,ns,144
gemv,M1024_K4096_f32,0,,,51905063.0,ns,147
gemv,M1024_K4096_f32,0,,,52964448.0,ns,150
gemv,M1024_K4096_f32,0,,,53917606.0,ns,153
gemv,M1024_K4096_f32,0,,,54923209.0,ns,156
gemv,M1024_K4096_f32,0,,,56130659.0,ns,159
gemv,M1024_K4096_f32,0,,,57069653.0,ns,162
gemv,M1024_K4096_f32,0,,,58099166.0,ns,165
gemv,M1024_K4096_f32,0,,,59155796.0,ns,168
gemv,M1024_K4096_f32,0,,,60280854.0,ns,171
gemv,M1024_K4096_f32,0,,,61181757.0,ns,174
gemv,M1024_K4096_f32,0,,,62273719.0,ns,177
gemv,M1024_K4096_f32,0,,,63424286.0,ns,180
gemv,M1024_K4096_f32,0,,,64465535.0,ns,183
gemv,M1024_K4096_f32,0,,,65419063.0,ns,186
gemv,M1024_K4096_f32,0,,,66450022.0,ns,189
