group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rng_normal,16_16_f32,16,,,1044893.0,ns,759
rng_normal,16_16_f32,16,,,1984015.0,ns,1518
rng_normal,16_16_f32,16,,,2966889.0,ns,2277
rng_normal,16_16_f32,16,,,3957076.0,ns,3036
rng_normal,16_16_f32,16,,,4945414.0,ns,3795
rng_normal,16_16_f32,16,,,5938609.0,ns,4554
rng_normal,16_16_f32,16,,,6930037.0,ns,5313
rng_normal,16_16_f32,16,,,7923329.0,ns,6072
rng_normal,16_16_f32,16,,,8905202.0,ns,6831
rng_normal,16_16_f32,16,,,9894132.0,ns,7590
rng_normal,16_16_f32,16,,,10909943.0,ns,8349
rng_normal,16_16_f32,16,,,11877662.0,ns,9108
rng_normal,16_16_f32,16,,,12869314.0,ns,9867
rng_normal,16_16_f32,16,,,13878508.0,ns,10626
rng_normal,16_16_f32,16,,,14844367.0,ns,11385
rng_normal,16_16_f32,16,,,15834852.0,ns,12144
rng_normal,16_16_f32,16,,,16808235.0,ns,12903
rng_normal,16_16_f32,16,,,17804090.0,ns,13662
rng_normal,16_16_f32,16,,,18926136.0,ns,14421
rng_normal,16_16_f32,16,,,19846766.0,ns,15180
rng_normal,16_16_f32,16,,,20786922.0,ns,15939
rng_normal,16_16_f32,16,,,21754433.0,ns,16698
rng_normal,16_16_f32,16,,,22794460.0,ns,17457
rng_normal,16_16_f32,16,,,23753198.0,ns,18216
rng_normal,16_16_f32,16,,,24738974.0,ns,18975
rng_normal,16_16_f32,16,,,25736106.0,ns,19734
rng_normal,16_16_f32,16,,,26727225.0,ns,20493
rng_normal,16_16_f32,16,,,27720997.0,ns,21252
rng_normal,16_16_f32,16,,,28700279.0,ns,22011
rng_normal,16_16_f32,16,,,29691851.0,ns,22770
rng_normal,16_16_f32,16,,,30689930.0,ns,23529
rng_normal,16_16_f32,16,,,31685125.0,ns,24288
rng_normal,16_16_f32,16,,,32677509.0,ns,25047
rng_normal,16_16_f32,16,,,33656523.0,ns,25806
rng_normal,16_16_f32,16,,,34641093.0,ns,26565
rng_normal,16_16_f32,16,,,35642751.0,ns,27324
rng_normal,16_16_f32,16,,,36667918.0,ns,28083
rng_normal,16_16_f32,16,,,37616539.0,ns,28842
rng_normal,16_16_f32,16,,,38593547.0,ns,29601
rng_normal,16_16_f32,16,,,39586279.0,ns,30360
rng_normal,16_16_f32,16,,,40569678.0,ns,31119
rng_normal,16_16_f32,16,,,41572313.0,ns,31878
rng_normal,16_16_f32,16,,,42555141.0,ns,32637
rng_normal,16_16_f32,16,,,43519872.0,ns,33396
rng_normal,16_16_f32,16,,,44565746.0,ns,34155
rng_normal,16_16_f32,16,,,45523615.0,ns,34914
rng_normal,16_16_f32,16,,,46482953.0,ns,35673
rng_normal,16_16_f32,16,,,47506300.0,ns,36432
rng_normal,16_16_f32,16,,,48643137.0,ns,37191
rng_normal,16_16_f32,16,,,49506017.0,ns,37950
rng_normal,16_16_f32,16,,,50451936.0,ns,38709
rng_normal,16_16_f32,16,,,51459912.0,ns,39468
rng_normal,16_16_f32,16,,,52441845.0,ns,40227
rng_normal,16_16_f32,16,,,53508637.0,ns,40986
rng_normal,16_16_f32,16,,,54423410.0,ns,41745
