group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rng_normal,64_64_f32,64,,,992912.0,ns,47
rng_normal,64_64_f32,64,,,1914829.0,ns,94
rng_normal,64_64_f32,64,,,2867763.0,ns,141
rng_normal,64_64_f32,64,,,3826137.0,ns,188
rng_normal,64_64_f32,64,,,4789875.0,ns,235
rng_normal,64_64_f32,64,,,5738525.0,ns,282
rng_normal,64_64_f32,64,,,6704106.0,ns,329
rng_normal,64_64_f32,64,,,7656912.0,ns,376
rng_normal,64_64_f32,64,,,8615742.0,ns,423
rng_normal,64_64_f32,64,,,9572986.0,ns,470
rng_normal,64_64_f32,64,,,10537466.0,ns,517
rng_normal,64_64_f32,64,,,11496523.0,ns,564
rng_normal,64_64_f32,64,,,12443678.0,ns,611
rng_normal,64_64_f32,64,,,13397729.0,ns,658
rng_normal,64_64_f32,64,,,14356454.0,ns,705
rng_normal,64_64_f32,64,,,15315046.0,ns,752
rng_normal,64_64_f32,64,,,16335126.0,ns,799
rng_normal,64_64_f32,64,,,17335260.0,ns,846
rng_normal,64_64_f32,64,,,18187808.0,ns,893
rng_normal,64_64_f32,64,,,19139589.0,ns,940
rng_normal,64_64_f32,64,,,20162406.0,ns,987
rng_normal,64_64_f32,64,,,21027015.0,ns,1034
rng_normal,64_64_f32,64,,,22011416.0,ns,1081
rng_normal,64_64_f32,64,,,22996458.0,ns,1128
rng_normal,64_64_f32,64,,,23914686.0,ns,1175
rng_normal,64_64_f32,64,,,24864233.0,ns,1222
rng_normal,64_64_f32,64,,,25821092.0,ns,1269
rng_normal,64_64_f32,64,,,26843995.0,ns,1316
rng_normal,64_64_f32,64,,,27774587.0,ns,1363
rng_normal,64_64_f32,64,,,28817835.0,ns,1410
rng_normal,64_64_f32,64,,,29674231.0,ns,1457
rng_normal,64_64_f32,64,,,30639170.0,ns,1504
rng_normal,64_64_f32,64,,,31574035.0,ns,1551
rng_normal,64_64_f32,64,,,32532502.0,ns,1598
rng_normal,64_64_f32,64,,,33485505.0,ns,1645
rng_normal,64_64_f32,64,,,34442625.0,ns,1692
rng_normal,64_64_f32,64,,,35417525.0,ns,1739
rng_normal,64_64_f32,64,,,36346850.0,ns,1786
rng_normal,64_64_f32,64,,,37317691.0,ns,1833
rng_normal,64_64_f32,64,,,38268640.0,ns,1880
rng_normal,64_64_f32,64,,,39228987.0,ns,1927
rng_normal,64_64_f32,64,,,40186897.0,ns,1974
rng_normal,64_64_f32,64,,,41196348.0,ns,2021
rng_normal,64_64_f32,64,,,42120152.0,ns,2068
rng_normal,64_64_f32,64,,,43071591.0,ns,2115
rng_normal,64_64_f32,64,,,44053957.0,ns,2162
rng_normal,64_64_f32,64,,,44995427.0,ns,2209
rng_normal,64_64_f32,64,,,45961155.0,ns,2256
rng_normal,64_64_f32,64,,,46909126.0,ns,2303
rng_normal,64_64_f32,64,,,47881341.0,ns,2350
rng_normal,64_64_f32,64,,,48837552.0,ns,2397
rng_normal,64_64_f32,64,,,49781593.0,ns,2444
rng_normal,64_64_f32,64,,,50740979.0,ns,2491
rng_normal,64_64_f32,64,,,51742193.0,ns,2538
rng_normal,64_64_f32,64,,,52655874.0,ns,2585
rng_normal,64_64_f32,64,,,53613707.0,ns,2632
rng_normal,64_64_f32,64,,,54551706.0,ns,2679
rng_normal,64_64_f32,64,,,55496083.0,ns,2726
rng_normal,64_64_f32,64,,,56444129.0,ns,2773
rng_normal,64_64_f32,64,,,57432144.0,ns,2820
rng_normal,64_64_f32,64,,,58409184.0,ns,2867
rng_normal,64_64_f32,64,,,59378342.0,ns,2914
rng_normal,64_64_f32,64,,,60299712.0,ns,2961
rng_normal,64_64_f32,64,,,61242310.0,ns,3008
rng_normal,64_64_f32,64,,,62241604.0,ns,3055
rng_normal,64_64_f32,64,,,63164978.0,ns,3102
rng_normal,64_64_f32,64,,,64104193.0,ns,3149
rng_normal,64_64_f32,64,,,65090309.0,ns,3196
rng_normal,64_64_f32,64,,,66017557.0,ns,3243
rng_normal,64_64_f32,64,,,67028562.0,ns,3290
rng_normal,64_64_f32,64,,,67974103.0,ns,3337
rng_normal,64_64_f32,64,,,68946540.0,ns,3384
rng_normal,64_64_f32,64,,,69898723.0,ns,3431
rng_normal,64_64_f32,64,,,70841856.0,ns,3478
rng_normal,64_64_f32,64,,,71787518.0,ns,3525
rng_normal,64_64_f32,64,,,72972689.0,ns,3572
rng_normal,64_64_f32,64,,,73780730.0,ns,3619
rng_normal,64_64_f32,64,,,74647635.0,ns,3666
rng_normal,64_64_f32,64,,,75606700.0,ns,3713
rng_normal,64_64_f32,64,,,76541153.0,ns,3760
rng_normal,64_64_f32,64,,,77568312.0,ns,3807
rng_normal,64_64_f32,64,,,78699791.0,ns,3854
rng_normal,64_64_f32,64,,,79463290.0,ns,3901
rng_normal,64_64_f32,64,,,80407999.0,ns,3948
rng_normal,64_64_f32,64,,,81365681.0,ns,3995
rng_normal,64_64_f32,64,,,82372839.0,ns,4042
rng_normal,64_64_f32,64,,,83298197.0,ns,4089
rng_normal,64_64_f32,64,,,84262496.0,ns,4136
rng_normal,64_64_f32,64,,,85180827.0,ns,4183
rng_normal,64_64_f32,64,,,86176558.0,ns,4230
rng_normal,64_64_f32,64,,,87152068.0,ns,4277
rng_normal,64_64_f32,64,,,88065537.0,ns,4324
rng_normal,64_64_f32,64,,,89244223.0,ns,4371
rng_normal,64_64_f32,64,,,90029962.0,ns,4418
rng_normal,64_64_f32,64,,,90960500.0,ns,4465
rng_normal,64_64_f32,64,,,91952798.0,ns,4512
rng_normal,64_64_f32,64,,,92868146.0,ns,4559
rng_normal,64_64_f32,64,,,93837428.0,ns,4606
rng_normal,64_64_f32,64,,,94763607.0,ns,4653
rng_normal,64_64_f32,64,,,95751946.0,ns,4700
