group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rng_uniform,256_256_f32,256,,,1059580.0,ns,12
rng_uniform,256_256_f32,256,,,2024585.0,ns,24
rng_uniform,256_256_f32,256,,,3033953.0,ns,36
rng_uniform,256_256_f32,256,,,4044943.0,ns,48
rng_uniform,256_256_f32,256,,,5055757.0,ns,60
rng_uniform,256_256_f32,256,,,6066837.0,ns,72
rng_uniform,256_256_f32,256,,,7078591.0,ns,84
rng_uniform,256_256_f32,256,,,8089461.0,ns,96
rng_uniform,256_256_f32,256,,,9100789.0,ns,108
rng_uniform,256_256_f32,256,,,10112484.0,ns,120
rng_uniform,256_256_f32,256,,,11115689.0,ns,132
rng_uniform,256_256_f32,256,,,12122505.0,ns,144
rng_uniform,256_256_f32,256,,,13132525.0,ns,156
rng_uniform,256_256_f32,256,,,14142680.0,ns,168
rng_uniform,256_256_f32,256,,,15154741.0,ns,180
rng_uniform,256_256_f32,256,,,16161866.0,ns,192
rng_uniform,256_256_f32,256,,,17173234.0,ns,204
rng_uniform,256_256_f32,256,,,18182430.0,ns,216
rng_uniform,256_256_f32,256,,,19221871.0,ns,228
rng_uniform,256_256_f32,256,,,20268137.0,ns,240
rng_uniform,256_256_f32,256,,,21244228.0,ns,252
rng_uniform,256_256_f32,256,,,22272318.0,ns,264
rng_uniform,256_256_f32,256,,,23637385.0,ns,276
rng_uniform,256_256_f32,256,,,33973679.0,ns,288
rng_uniform,256_256_f32,256,,,33491220.0,ns,300
rng_uniform,256_256_f32,256,,,26307635.0,ns,312
rng_uniform,256_256_f32,256,,,27314996.0,ns,324
rng_uniform,256_256_f32,256,,,28326173.0,ns,336
rng_uniform,256_256_f32,256,,,29338668.0,ns,348
rng_uniform,256_256_f32,256,,,30347794.0,ns,360
rng_uniform,256_256_f32,256,,,31360687.0,ns,372
rng_uniform,256_256_f32,256,,,32373521.0,ns,384
rng_uniform,256_256_f32,256,,,33385392.0,ns,396
rng_uniform,256_256_f32,256,,,34397552.0,ns,408
rng_uniform,256_256_f32,256,,,35408175.0,ns,420
rng_uniform,256_256_f32,256,,,36419769.0,ns,432
rng_uniform,256_256_f32,256,,,37431084.0,ns,444
rng_uniform,256_256_f32,256,,,38444577.0,ns,456
rng_uniform,256_256_f32,256,,,39454792.0,ns,468
rng_uniform,256_256_f32,256,,,40466247.0,ns,480
rng_uniform,256_256_f32,256,,,41506927.0,ns,492
rng_uniform,256_256_f32,256,,,42491096.0,ns,504
rng_uniform,256_256_f32,256,,,43503161.0,ns,516
rng_uniform,256_256_f32,256,,,44510178.0,ns,528
rng_uniform,256_256_f32,256,,,45464163.0,ns,540
rng_uniform,256_256_f32,256,,,46471956.0,ns,552
rng_uniform,256_256_f32,256,,,47484225.0,ns,564
rng_uniform,256_256_f32,256,,,48545200.0,ns,576
rng_uniform,256_256_f32,256,,,49569192.0,ns,588
rng_uniform,256_256_f32,256,,,50587308.0,ns,600
rng_uniform,256_256_f32,256,,,51597338.0,ns,612
rng_uniform,256_256_f32,256,,,52603572.0,ns,624
rng_uniform,256_256_f32,256,,,53542413.0,ns,636
rng_uniform,256_256_f32,256,,,54557798.0,ns,648
rng_uniform,256_256_f32,256,,,55563117.0,ns,660
rng_uniform,256_256_f32,256,,,56569685.0,ns,672
rng_uniform,256_256_f32,256,,,57586259.0,ns,684
rng_uniform,256_256_f32,256,,,58592732.0,ns,696
rng_uniform,256_256_f32,256,,,59604304.0,ns,708
rng_uniform,256_256_f32,256,,,60674310.0,ns,720
rng_uniform,256_256_f32,256,,,61706703.0,ns,732
rng_uniform,256_256_f32,256,,,62717777.0,ns,744
rng_uniform,256_256_f32,256,,,63725355.0,ns,756
rng_uniform,256_256_f32,256,,,64739175.0,ns,768
