group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rng_uniform,rng_uni_64_64_f32,64,,,968419.0,ns,168
rng_uniform,rng_uni_64_64_f32,64,,,1783217.0,ns,336
rng_uniform,rng_uni_64_64_f32,64,,,2676919.0,ns,504
rng_uniform,rng_uni_64_64_f32,64,,,3567353.0,ns,672
rng_uniform,rng_uni_64_64_f32,64,,,4459012.0,ns,840
rng_uniform,rng_uni_64_64_f32,64,,,5350235.0,ns,1008
rng_uniform,rng_uni_64_64_f32,64,,,6245360.0,ns,1176
rng_uniform,rng_uni_64_64_f32,64,,,7134812.0,ns,1344
rng_uniform,rng_uni_64_64_f32,64,,,8026882.0,ns,1512
rng_uniform,rng_uni_64_64_f32,64,,,8919596.0,ns,1680
rng_uniform,rng_uni_64_64_f32,64,,,9837311.0,ns,1848
rng_uniform,rng_uni_64_64_f32,64,,,10707197.0,ns,2016
rng_uniform,rng_uni_64_64_f32,64,,,11596887.0,ns,2184
rng_uniform,rng_uni_64_64_f32,64,,,12515807.0,ns,2352
rng_uniform,rng_uni_64_64_f32,64,,,13376654.0,ns,2520
rng_uniform,rng_uni_64_64_f32,64,,,14300303.0,ns,2688
rng_uniform,rng_uni_64_64_f32,64,,,15168153.0,ns,2856
rng_uniform,rng_uni_64_64_f32,64,,,16059272.0,ns,3024
rng_uniform,rng_uni_64_64_f32,64,,,16949030.0,ns,3192
rng_uniform,rng_uni_64_64_f32,64,,,17842398.0,ns,3360
rng_uniform,rng_uni_64_64_f32,64,,,18762695.0,ns,3528
rng_uniform,rng_uni_64_64_f32,64,,,19628227.0,ns,3696
rng_uniform,rng_uni_64_64_f32,64,,,20518982.0,ns,3864
rng_uniform,rng_uni_64_64_f32,64,,,21412075.0,ns,4032
rng_uniform,rng_uni_64_64_f32,64,,,22307911.0,ns,4200
rng_uniform,rng_uni_64_64_f32,64,,,23274780.0,ns,4368
rng_uniform,rng_uni_64_64_f32,64,,,24221940.0,ns,4536
rng_uniform,rng_uni_64_64_f32,64,,,24999304.0,ns,4704
rng_uniform,rng_uni_64_64_f32,64,,,25863584.0,ns,4872
rng_uniform,rng_uni_64_64_f32,64,,,26789555.0,ns,5040
rng_uniform,rng_uni_64_64_f32,64,,,27655069.0,ns,5208
rng_uniform,rng_uni_64_64_f32,64,,,28546741.0,ns,5376
rng_uniform,rng_uni_64_64_f32,64,,,29441251.0,ns,5544
rng_uniform,rng_uni_64_64_f32,64,,,30330905.0,ns,5712
rng_uniform,rng_uni_64_64_f32,64,,,31389521.0,ns,5880
rng_uniform,rng_uni_64_64_f32,64,,,32108326.0,ns,6048
rng_uniform,rng_uni_64_64_f32,64,,,32999363.0,ns,6216
rng_uniform,rng_uni_64_64_f32,64,,,33917766.0,ns,6384
rng_uniform,rng_uni_64_64_f32,64,,,34781058.0,ns,6552
rng_uniform,rng_uni_64_64_f32,64,,,35673447.0,ns,6720
rng_uniform,rng_uni_64_64_f32,64,,,36679723.0,ns,6888
rng_uniform,rng_uni_64_64_f32,64,,,37470936.0,ns,7056
rng_uniform,rng_uni_64_64_f32,64,,,38362488.0,ns,7224
rng_uniform,rng_uni_64_64_f32,64,,,39281559.0,ns,7392
rng_uniform,rng_uni_64_64_f32,64,,,40300491.0,ns,7560
rng_uniform,rng_uni_64_64_f32,64,,,41055932.0,ns,7728
rng_uniform,rng_uni_64_64_f32,64,,,41929058.0,ns,7896
rng_uniform,rng_uni_64_64_f32,64,,,42819867.0,ns,8064
rng_uniform,rng_uni_64_64_f32,64,,,43740292.0,ns,8232
rng_uniform,rng_uni_64_64_f32,64,,,44606001.0,ns,8400
rng_uniform,rng_uni_64_64_f32,64,,,45544592.0,ns,8568
rng_uniform,rng_uni_64_64_f32,64,,,46392275.0,ns,8736
rng_uniform,rng_uni_64_64_f32,64,,,47363833.0,ns,8904
rng_uniform,rng_uni_64_64_f32,64,,,48255501.0,ns,9072
rng_uniform,rng_uni_64_64_f32,64,,,49232344.0,ns,9240
rng_uniform,rng_uni_64_64_f32,64,,,49985692.0,ns,9408
rng_uniform,rng_uni_64_64_f32,64,,,50850415.0,ns,9576
rng_uniform,rng_uni_64_64_f32,64,,,51759317.0,ns,9744
rng_uniform,rng_uni_64_64_f32,64,,,52770288.0,ns,9912
rng_uniform,rng_uni_64_64_f32,64,,,53556927.0,ns,10080
rng_uniform,rng_uni_64_64_f32,64,,,54421220.0,ns,10248
