group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
small_gemv,gemv_32_32_f32,32,,,1001867.0,ns,10231
small_gemv,gemv_32_32_f32,32,,,1857237.0,ns,20462
small_gemv,gemv_32_32_f32,32,,,2807628.0,ns,30693
small_gemv,gemv_32_32_f32,32,,,3724207.0,ns,40924
small_gemv,gemv_32_32_f32,32,,,4673361.0,ns,51155
small_gemv,gemv_32_32_f32,32,,,5609013.0,ns,61386
small_gemv,gemv_32_32_f32,32,,,6528122.0,ns,71617
small_gemv,gemv_32_32_f32,32,,,7432294.0,ns,81848
small_gemv,gemv_32_32_f32,32,,,8388155.0,ns,92079
small_gemv,gemv_32_32_f32,32,,,9393539.0,ns,102310
small_gemv,gemv_32_32_f32,32,,,10255144.0,ns,112541
small_gemv,gemv_32_32_f32,32,,,11234130.0,ns,122772
small_gemv,gemv_32_32_f32,32,,,12103293.0,ns,133003
small_gemv,gemv_32_32_f32,32,,,13087083.0,ns,143234
small_gemv,gemv_32_32_f32,32,,,14004269.0,ns,153465
small_gemv,gemv_32_32_f32,32,,,14933376.0,ns,163696
small_gemv,gemv_32_32_f32,32,,,15934236.0,ns,173927
small_gemv,gemv_32_32_f32,32,,,16837804.0,ns,184158
small_gemv,gemv_32_32_f32,32,,,17773305.0,ns,194389
small_gemv,gemv_32_32_f32,32,,,18719048.0,ns,204620
small_gemv,gemv_32_32_f32,32,,,19637345.0,ns,214851
small_gemv,gemv_32_32_f32,32,,,20576248.0,ns,225082
small_gemv,gemv_32_32_f32,32,,,21505252.0,ns,235313
small_gemv,gemv_32_32_f32,32,,,22398852.0,ns,245544
small_gemv,gemv_32_32_f32,32,,,23401270.0,ns,255775
small_gemv,gemv_32_32_f32,32,,,24209809.0,ns,266006
small_gemv,gemv_32_32_f32,32,,,25212910.0,ns,276237
small_gemv,gemv_32_32_f32,32,,,26129406.0,ns,286468
small_gemv,gemv_32_32_f32,32,,,27079693.0,ns,296699
small_gemv,gemv_32_32_f32,32,,,27972795.0,ns,306930
small_gemv,gemv_32_32_f32,32,,,29050691.0,ns,317161
small_gemv,gemv_32_32_f32,32,,,29891524.0,ns,327392
small_gemv,gemv_32_32_f32,32,,,30826356.0,ns,337623
small_gemv,gemv_32_32_f32,32,,,31634930.0,ns,347854
small_gemv,gemv_32_32_f32,32,,,32759261.0,ns,358085
small_gemv,gemv_32_32_f32,32,,,33688474.0,ns,368316
small_gemv,gemv_32_32_f32,32,,,34480361.0,ns,378547
small_gemv,gemv_32_32_f32,32,,,35481608.0,ns,388778
small_gemv,gemv_32_32_f32,32,,,36479373.0,ns,399009
small_gemv,gemv_32_32_f32,32,,,37369637.0,ns,409240
small_gemv,gemv_32_32_f32,32,,,38394305.0,ns,419471
small_gemv,gemv_32_32_f32,32,,,39246217.0,ns,429702
small_gemv,gemv_32_32_f32,32,,,40296044.0,ns,439933
small_gemv,gemv_32_32_f32,32,,,41064418.0,ns,450164
small_gemv,gemv_32_32_f32,32,,,41969570.0,ns,460395
small_gemv,gemv_32_32_f32,32,,,42913498.0,ns,470626
small_gemv,gemv_32_32_f32,32,,,43843584.0,ns,480857
small_gemv,gemv_32_32_f32,32,,,44971751.0,ns,491088
small_gemv,gemv_32_32_f32,32,,,45771509.0,ns,501319
small_gemv,gemv_32_32_f32,32,,,46754869.0,ns,511550
small_gemv,gemv_32_32_f32,32,,,47712649.0,ns,521781
small_gemv,gemv_32_32_f32,32,,,48669286.0,ns,532012
small_gemv,gemv_32_32_f32,32,,,49526814.0,ns,542243
small_gemv,gemv_32_32_f32,32,,,50503481.0,ns,552474
small_gemv,gemv_32_32_f32,32,,,51367677.0,ns,562705
