group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
small_gemv,gemv_32_32c/1,32,,,994035.0,ns,10526
small_gemv,gemv_32_32c/1,32,,,1928154.0,ns,21052
small_gemv,gemv_32_32c/1,32,,,2892830.0,ns,31578
small_gemv,gemv_32_32c/1,32,,,3858047.0,ns,42104
small_gemv,gemv_32_32c/1,32,,,4820937.0,ns,52630
small_gemv,gemv_32_32c/1,32,,,5786725.0,ns,63156
small_gemv,gemv_32_32c/1,32,,,6745560.0,ns,73682
small_gemv,gemv_32_32c/1,32,,,7710745.0,ns,84208
small_gemv,gemv_32_32c/1,32,,,8676338.0,ns,94734
small_gemv,gemv_32_32c/1,32,,,9646266.0,ns,105260
small_gemv,gemv_32_32c/1,32,,,10546467.0,ns,115786
small_gemv,gemv_32_32c/1,32,,,11383857.0,ns,126312
small_gemv,gemv_32_32c/1,32,,,12378002.0,ns,136838
small_gemv,gemv_32_32c/1,32,,,13253424.0,ns,147364
small_gemv,gemv_32_32c/1,32,,,14199628.0,ns,157890
small_gemv,gemv_32_32c/1,32,,,15140780.0,ns,168416
small_gemv,gemv_32_32c/1,32,,,16094336.0,ns,178942
small_gemv,gemv_32_32c/1,32,,,17067509.0,ns,189468
small_gemv,gemv_32_32c/1,32,,,17987111.0,ns,199994
small_gemv,gemv_32_32c/1,32,,,18955582.0,ns,210520
small_gemv,gemv_32_32c/1,32,,,19878971.0,ns,221046
small_gemv,gemv_32_32c/1,32,,,20887819.0,ns,231572
small_gemv,gemv_32_32c/1,32,,,22203150.0,ns,242098
small_gemv,gemv_32_32c/1,32,,,22845147.0,ns,252624
small_gemv,gemv_32_32c/1,32,,,24094674.0,ns,263150
small_gemv,gemv_32_32c/1,32,,,25078117.0,ns,273676
small_gemv,gemv_32_32c/1,32,,,26044300.0,ns,284202
small_gemv,gemv_32_32c/1,32,,,27014722.0,ns,294728
small_gemv,gemv_32_32c/1,32,,,27973768.0,ns,305254
small_gemv,gemv_32_32c/1,32,,,28976182.0,ns,315780
small_gemv,gemv_32_32c/1,32,,,29922579.0,ns,326306
small_gemv,gemv_32_32c/1,32,,,30903105.0,ns,336832
small_gemv,gemv_32_32c/1,32,,,31877156.0,ns,347358
small_gemv,gemv_32_32c/1,32,,,32834265.0,ns,357884
small_gemv,gemv_32_32c/1,32,,,33800597.0,ns,368410
small_gemv,gemv_32_32c/1,32,,,34768766.0,ns,378936
small_gemv,gemv_32_32c/1,32,,,35706859.0,ns,389462
small_gemv,gemv_32_32c/1,32,,,36698599.0,ns,399988
small_gemv,gemv_32_32c/1,32,,,37737542.0,ns,410514
small_gemv,gemv_32_32c/1,32,,,38618306.0,ns,421040
small_gemv,gemv_32_32c/1,32,,,39580025.0,ns,431566
small_gemv,gemv_32_32c/1,32,,,40557665.0,ns,442092
small_gemv,gemv_32_32c/1,32,,,41519864.0,ns,452618
small_gemv,gemv_32_32c/1,32,,,42486039.0,ns,463144
small_gemv,gemv_32_32c/1,32,,,43391210.0,ns,473670
small_gemv,gemv_32_32c/1,32,,,44347350.0,ns,484196
small_gemv,gemv_32_32c/1,32,,,45347591.0,ns,494722
small_gemv,gemv_32_32c/1,32,,,46299786.0,ns,505248
small_gemv,gemv_32_32c/1,32,,,47255222.0,ns,515774
small_gemv,gemv_32_32c/1,32,,,48179179.0,ns,526300
small_gemv,gemv_32_32c/1,32,,,49183249.0,ns,536826
small_gemv,gemv_32_32c/1,32,,,50025136.0,ns,547352
small_gemv,gemv_32_32c/1,32,,,51126736.0,ns,557878
small_gemv,gemv_32_32c/1,32,,,52121344.0,ns,568404
small_gemv,gemv_32_32c/1,32,,,52222335.0,ns,578930
small_gemv,gemv_32_32c/1,32,,,53243495.0,ns,589456
small_gemv,gemv_32_32c/1,32,,,55096374.0,ns,599982
small_gemv,gemv_32_32c/1,32,,,56002499.0,ns,610508
small_gemv,gemv_32_32c/1,32,,,56919004.0,ns,621034
small_gemv,gemv_32_32c/1,32,,,57889618.0,ns,631560
small_gemv,gemv_32_32c/1,32,,,58879053.0,ns,642086
small_gemv,gemv_32_32c/1,32,,,59861001.0,ns,652612
small_gemv,gemv_32_32c/1,32,,,60765603.0,ns,663138
small_gemv,gemv_32_32c/1,32,,,70491681.0,ns,673664
small_gemv,gemv_32_32c/1,32,,,87681286.0,ns,684190
small_gemv,gemv_32_32c/1,32,,,89013418.0,ns,694716
small_gemv,gemv_32_32c/1,32,,,90403514.0,ns,705242
small_gemv,gemv_32_32c/1,32,,,80913514.0,ns,715768
small_gemv,gemv_32_32c/1,32,,,66621214.0,ns,726294
small_gemv,gemv_32_32c/1,32,,,67534747.0,ns,736820
small_gemv,gemv_32_32c/1,32,,,68495537.0,ns,747346
small_gemv,gemv_32_32c/1,32,,,69426589.0,ns,757872
small_gemv,gemv_32_32c/1,32,,,70471945.0,ns,768398
small_gemv,gemv_32_32c/1,32,,,71454924.0,ns,778924
small_gemv,gemv_32_32c/1,32,,,72388825.0,ns,789450
small_gemv,gemv_32_32c/1,32,,,73313555.0,ns,799976
small_gemv,gemv_32_32c/1,32,,,74356140.0,ns,810502
small_gemv,gemv_32_32c/1,32,,,75259900.0,ns,821028
small_gemv,gemv_32_32c/1,32,,,76199652.0,ns,831554
small_gemv,gemv_32_32c/1,32,,,77148679.0,ns,842080
small_gemv,gemv_32_32c/1,32,,,78167234.0,ns,852606
small_gemv,gemv_32_32c/1,32,,,79083653.0,ns,863132
small_gemv,gemv_32_32c/1,32,,,80011889.0,ns,873658
small_gemv,gemv_32_32c/1,32,,,81086472.0,ns,884184
small_gemv,gemv_32_32c/1,32,,,82050172.0,ns,894710
small_gemv,gemv_32_32c/1,32,,,82813610.0,ns,905236
small_gemv,gemv_32_32c/1,32,,,83667166.0,ns,915762
small_gemv,gemv_32_32c/1,32,,,84517463.0,ns,926288
small_gemv,gemv_32_32c/1,32,,,85519935.0,ns,936814
small_gemv,gemv_32_32c/1,32,,,86843502.0,ns,947340
small_gemv,gemv_32_32c/1,32,,,87804701.0,ns,957866
small_gemv,gemv_32_32c/1,32,,,88774059.0,ns,968392
small_gemv,gemv_32_32c/1,32,,,88911046.0,ns,978918
small_gemv,gemv_32_32c/1,32,,,89378322.0,ns,989444
small_gemv,gemv_32_32c/1,32,,,90844772.0,ns,999970
small_gemv,gemv_32_32c/1,32,,,92588742.0,ns,1010496
small_gemv,gemv_32_32c/1,32,,,93572160.0,ns,1021022
small_gemv,gemv_32_32c/1,32,,,94507827.0,ns,1031548
small_gemv,gemv_32_32c/1,32,,,94997605.0,ns,1042074
small_gemv,gemv_32_32c/1,32,,,96259297.0,ns,1052600
