group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
small_gemv,gemv_64_64c/1,64,,,1037408.0,ns,3967
small_gemv,gemv_64_64c/1,64,,,1957828.0,ns,7934
small_gemv,gemv_64_64c/1,64,,,2942032.0,ns,11901
small_gemv,gemv_64_64c/1,64,,,3925770.0,ns,15868
small_gemv,gemv_64_64c/1,64,,,4902095.0,ns,19835
small_gemv,gemv_64_64c/1,64,,,5889683.0,ns,23802
small_gemv,gemv_64_64c/1,64,,,6877567.0,ns,27769
small_gemv,gemv_64_64c/1,64,,,7840546.0,ns,31736
small_gemv,gemv_64_64c/1,64,,,8678195.0,ns,35703
small_gemv,gemv_64_64c/1,64,,,9499318.0,ns,39670
small_gemv,gemv_64_64c/1,64,,,10803382.0,ns,43637
small_gemv,gemv_64_64c/1,64,,,11749861.0,ns,47604
small_gemv,gemv_64_64c/1,64,,,12722959.0,ns,51571
small_gemv,gemv_64_64c/1,64,,,13682127.0,ns,55538
small_gemv,gemv_64_64c/1,64,,,14687972.0,ns,59505
small_gemv,gemv_64_64c/1,64,,,15694786.0,ns,63472
small_gemv,gemv_64_64c/1,64,,,16659330.0,ns,67439
small_gemv,gemv_64_64c/1,64,,,17650092.0,ns,71406
small_gemv,gemv_64_64c/1,64,,,18610712.0,ns,75373
small_gemv,gemv_64_64c/1,64,,,19584785.0,ns,79340
small_gemv,gemv_64_64c/1,64,,,20591768.0,ns,83307
small_gemv,gemv_64_64c/1,64,,,20996821.0,ns,87274
small_gemv,gemv_64_64c/1,64,,,21920393.0,ns,91241
small_gemv,gemv_64_64c/1,64,,,22860671.0,ns,95208
small_gemv,gemv_64_64c/1,64,,,23778204.0,ns,99175
small_gemv,gemv_64_64c/1,64,,,24955596.0,ns,103142
small_gemv,gemv_64_64c/1,64,,,26484822.0,ns,107109
small_gemv,gemv_64_64c/1,64,,,27481808.0,ns,111076
small_gemv,gemv_64_64c/1,64,,,28452819.0,ns,115043
small_gemv,gemv_64_64c/1,64,,,29620530.0,ns,119010
small_gemv,gemv_64_64c/1,64,,,30402864.0,ns,122977
small_gemv,gemv_64_64c/1,64,,,31372946.0,ns,126944
small_gemv,gemv_64_64c/1,64,,,32380566.0,ns,130911
small_gemv,gemv_64_64c/1,64,,,33387127.0,ns,134878
small_gemv,gemv_64_64c/1,64,,,34426055.0,ns,138845
small_gemv,gemv_64_64c/1,64,,,35235379.0,ns,142812
small_gemv,gemv_64_64c/1,64,,,36197966.0,ns,146779
small_gemv,gemv_64_64c/1,64,,,37167367.0,ns,150746
small_gemv,gemv_64_64c/1,64,,,38202467.0,ns,154713
small_gemv,gemv_64_64c/1,64,,,39212084.0,ns,158680
small_gemv,gemv_64_64c/1,64,,,40131997.0,ns,162647
small_gemv,gemv_64_64c/1,64,,,41194547.0,ns,166614
small_gemv,gemv_64_64c/1,64,,,42179573.0,ns,170581
small_gemv,gemv_64_64c/1,64,,,43121393.0,ns,174548
small_gemv,gemv_64_64c/1,64,,,44075719.0,ns,178515
small_gemv,gemv_64_64c/1,64,,,45040772.0,ns,182482
small_gemv,gemv_64_64c/1,64,,,45669524.0,ns,186449
small_gemv,gemv_64_64c/1,64,,,47117739.0,ns,190416
small_gemv,gemv_64_64c/1,64,,,48150574.0,ns,194383
small_gemv,gemv_64_64c/1,64,,,64608625.0,ns,198350
small_gemv,gemv_64_64c/1,64,,,66202361.0,ns,202317
